23:44:44.561446 Foll S0  term:0  INFO  initialize finished
23:44:44.561626 Foll S1  term:0  INFO  initialize finished
23:44:44.561667 Foll S2  term:0  INFO  initialize finished
23:44:44.561700 Foll S3  term:0  INFO  initialize finished
23:44:44.561719 Foll S4  term:0  INFO  initialize finished
Test: one client (3A) ...
23:44:44.569734 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.569826 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.569913 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.570005 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.570098 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.570187 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.570273 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.570364 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.570462 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.570575 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.570658 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.570761 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.570844 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.570938 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.571031 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.571131 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.571220 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.571307 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.571396 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.571504 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.571584 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.571849 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.571938 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.572039 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
